funcion1	funcion2	R	P
X075..17.0.ISO	Prostigmata	0.718484121343668	0.00171582892966216
X100..TBSA.10Me18.0	Prostigmata	0.700711522325963	0.0024985923116172
X106..19.0.CYCLO.w8c	Prostigmata	0.738424299122098	0.00108794119563083
Deinococcus	Prostigmata	0.716455646420982	0.00179348331402784
Phyllobacterium	Prostigmata	0.716455646420982	0.00179348331402784
Cytophaga	Prostigmata	0.716455646420982	0.00179348331402784
Mesofauna	Collembola	0.712381576923072	0.00195808482665494
Fauna.Total	Collembola	0.712116919413706	0.00196918783307476
X042..15.1.ISO.G	Collembola	0.712834722424895	0.00193919236183615
X083..17.0	Collembola	0.775742465551576	0.000412794421926987
Rhodospirillum	Collembola	0.719963948698371	0.00166092158859543
Burkholderia	Collembola	0.934476903733755	1.16788330561945e-07
Thiothrix	Collembola	0.934476903733755	1.16788330561945e-07
Nonomuraea	Collembola	0.934476903733755	1.16788330561945e-07
O.Metano	Collembola	0.801550037001171	0.000188878345954047
Thermodesulfobium	Collembola	0.716235664040035	0.00180207362034146
Fauna.Total	Mesofauna	0.999985443357443	0
COPf	COT	0.730296743340221	0.00131604919386996
pH	COT	0.730296743340222	0.00131604919386996
Pe	COT	0.812444463702388	0.000131216301798798
X036..14.0	COT	0.710472503471387	0.0020393261470999
X045..15.0.ISO	COT	-0.732389971589571	0.00125387958049661
Rubrobacter	COT	-0.712696645099798	0.00194493330812273
Rickettsiella	COT	-0.730296743340221	0.00131604919386996
Dactylosporangium	COT	0.730296743340221	0.00131604919386996
Leptolyngbya	COT	-0.730296743340221	0.00131604919386996
Fermentadores	COPg	-0.766391136527031	0.000534814280314766
pH	COPf	1	0
Pe	COPf	0.934487734928968	1.16656665438697e-07
CHt	COPf	-0.903512889138197	1.61227314188217e-06
X036..14.0	COPf	0.906796517166749	1.27664384597104e-06
Dactylosporangium	COPf	1	0
Act.Nitrificante	COPf	0.808290376865476	0.0001511692398104
Densidad..g.cm3.	COM	-0.763830664133898	0.00621192880661736
Pe	pH	0.934487734928968	1.16656665438697e-07
CHt	pH	-0.903512889138197	1.61227314188217e-06
X036..14.0	pH	0.906796517166749	1.27664384597104e-06
Dactylosporangium	pH	1	0
Act.Nitrificante	pH	0.808290376865476	0.0001511692398104
Terriglobus	Nt	0.717560880358786	0.00175082618182887
CHt	Pe	-0.874242305524518	9.50545468736408e-06
X036..14.0	Pe	0.885871520172506	4.97639508356684e-06
Dactylosporangium	Pe	0.934487734928968	1.16656665438697e-07
Act.Nitrificante	Pe	0.796444243084997	0.000222373005783538
G..microagregatum	Pt	-0.756949805495533	0.000686692089576724
X036..14.0	CHt	-0.902077997292819	1.78079296464517e-06
Dactylosporangium	CHt	-0.903512889138197	1.61227314188217e-06
Tem..aire...C.	CHs	0.764652672598173	0.000560476501467511
HT	CHs	0.724406759937647	0.00150460247022188
PF	CHs	0.714306630300713	0.00187884448650033
Taire.Tsuelo	Humedad.Vol..aut....	0.980456813981698	2.17284465975354e-08
A..mellea	Humedad.Vol..aut....	0.741649871928155	0.00100689416523903
Singulisphaera	Humedad.Vol..aut....	0.709299365615191	0.00209059168181014
Taire.Tsuelo	Temp...suelo...C.	0.932028110585873	1.01871082973659e-05
X032..14.0.ISO	Temp...suelo...C.	0.72660783617749	0.00143172411890413
X096..18.0	Temp...suelo...C.	0.750593158005757	0.000807640062466586
X103..19.0.ISO	Temp...suelo...C.	0.81565596783706	0.000117337322119493
Pseudomonas	Temp...suelo...C.	0.702618752041648	0.00240284191887019
Cellvibrio	Temp...suelo...C.	0.750082987011973	0.00081805887507036
Alicyclobacillus	Temp...suelo...C.	0.750082987011973	0.00081805887507036
Saccharopolyspora	Temp...suelo...C.	0.750082987011973	0.00081805887507036
Kibdelosporangium	Temp...suelo...C.	0.750082987011973	0.00081805887507036
HT	Tem..aire...C.	0.75511010661634	0.000720052688459427
PF	Tem..aire...C.	0.857303911388758	2.19639601179988e-05
Riqueza	Tem..aire...C.	0.722443724430085	0.00157212224603587
X097..11.methyl.18.1.w7c	Tem..aire...C.	0.82094994266605	9.71314917184163e-05
Luteolibacter	Tem..aire...C.	0.768092803757428	0.000510639947587155
Temp_aire	Tem..aire...C.	0.785565370481888	0.000310339114712566
Densidad..g.cm3.	Taire.Tsuelo	-0.758174881698344	0.0482496953940703
nifH_.qPCR.	Taire.Tsuelo	0.73187272057285	0.00681321109847666
A..laevis	Taire.Tsuelo	0.759138911696543	0.00419083571318124
C..luteum	Taire.Tsuelo	0.701809872113626	0.0109589871692952
Sclerocystis.sp..1	Taire.Tsuelo	0.805222731620227	0.00157577476885895
Scutellospora.biornata	Taire.Tsuelo	0.805222731620227	0.00157577476885895
X064..16.0	Taire.Tsuelo	0.768584399953328	0.00349086690874323
X078..17.1.w8c	Taire.Tsuelo	0.798123761005629	0.00186069623031138
X103..19.0.ISO	Taire.Tsuelo	0.862281227421432	0.000308202215267839
Phenylobacterium	Taire.Tsuelo	0.757126450890271	0.00435277535193079
Pseudomonas	Taire.Tsuelo	0.880395734220275	0.00015717592384501
Blastochloris	Taire.Tsuelo	0.765995999170433	0.00367310542681021
Coxiella	Taire.Tsuelo	0.805222731620227	0.00157577476885895
Rubellimicrobium	Taire.Tsuelo	0.805222731620227	0.00157577476885895
Arhodomonas	Taire.Tsuelo	0.805222731620227	0.00157577476885895
Gemmatimonas	Taire.Tsuelo	0.713701402616408	0.00914250244476511
X106..19.0.CYCLO.w8c	Densidad..g.cm3.	0.789626175125918	0.00384297011259971
Massilia	Densidad..g.cm3.	0.868316079180684	0.000526441852840565
PF	HT	0.910863407015	9.44602569274977e-07
A..excavata	HT	0.713873312423711	0.00189644967919111
G..aggregatum	PT	0.706291912573186	0.00222680681677101
Acidisoma	PT	0.729256424411928	0.00134786955204813
Pseudonocardia	PF	0.764205563729763	0.000567237719908187
Paludibaculum	Vmax	0.763958398959643	0.000571004078063986
G..aggregatum	X.Vmax_Km.	0.81345416531022	0.000718324072799703
A..laevis	nifH_.qPCR.	0.804732307234746	0.000170205670433576
Sclerocystis.sp..1	nifH_.qPCR.	0.738143806838756	0.0010952337940382
Scutellospora.biornata	nifH_.qPCR.	0.734881241282986	0.00118303426395627
X078..17.1.w8c	nifH_.qPCR.	0.724956348083932	0.00148612853185259
Coxiella	nifH_.qPCR.	0.738143806838756	0.0010952337940382
Rubellimicrobium	nifH_.qPCR.	0.738143806838756	0.0010952337940382
Arhodomonas	nifH_.qPCR.	0.738143806838756	0.0010952337940382
A..denticulata	Acaulospora.alpina	0.711433439008112	0.00199809809094309
Rhizobium	Acaulospora.alpina	0.803245901760168	0.000178726872331003
Shinella	Acaulospora.alpina	0.756477649810073	0.000695130363099761
Aerobios	Acaulospora.alpina	0.72738757480138	0.00140660782084057
Gigaspora.decipiens	A..bireticulata	0.835713130220366	5.54403098484979e-05
X051..15.0	A..bireticulata	0.871891099335895	1.0751333293868e-05
Cupriavidus	A..bireticulata	0.748284839399463	0.000855663803243978
QuimioAutotrofos	A..bireticulata	0.748284839399463	0.000855663803243978
G..gigantea	A..delicata	0.764566551191961	0.000561773653055209
Rhizophagus.clarus	A..delicata	0.730616328618682	0.00130639803103616
R...intraradices	A..delicata	0.772348037963152	0.000454101641256699
Sclerocystis.sinuosum	A..delicata	0.772348037963152	0.000454101641256699
X058..16.0.ISO	A..delicata	0.817939815727272	0.00010822959816581
X069..16.0.10.methyl	A..delicata	0.86751051531734	1.34402919296228e-05
X076..17.0.ANTEISO	A..delicata	0.738340253265854	0.00109012214914062
Edaphobacter	A..delicata	0.772348037963152	0.000454101641256699
Novosphingobium	A..delicata	0.772348037963152	0.000454101641256699
Micromonospora	A..delicata	0.772348037963152	0.000454101641256699
Solirubrobacter	A..delicata	0.723713855063067	0.00152816006591916
Entrophospora.infrequens	A..excavata	0.881453419145268	6.41353157515567e-06
G..microagregatum	A..excavata	0.839859097864442	4.69002397438523e-05
Glomus.sp..1	A..excavata	0.937569551571462	8.39522527051884e-08
Sclerocystis.sp..1	A..laevis	0.81652099774367	0.000113815468504086
Scutellospora.biornata	A..laevis	0.811958142524552	0.000133432330641226
X078..17.1.w8c	A..laevis	0.79498265086001	0.000232819319220479
Coxiella	A..laevis	0.81652099774367	0.000113815468504086
Rubellimicrobium	A..laevis	0.81652099774367	0.000113815468504086
Arhodomonas	A..laevis	0.81652099774367	0.000113815468504086
C..etunicatum	A..mellea	0.741582808658821	0.00100852738767365
X072..ANTEISO.17.1.w9c	A..mellea	0.949335489867204	2.0086727836599e-08
X075..17.0.ISO	A..mellea	0.947912532883091	2.42917359560835e-08
X100..TBSA.10Me18.0	A..mellea	0.939248087531308	6.96849395964705e-08
X106..19.0.CYCLO.w8c	A..mellea	0.750350439348031	0.000812583253703814
Deinococcus	A..mellea	0.949335489867204	2.0086727836599e-08
Phyllobacterium	A..mellea	0.949335489867204	2.0086727836599e-08
Cytophaga	A..mellea	0.949335489867204	2.0086727836599e-08
Pe.1	A..mellea	0.740452302439959	0.00103638706408304
F..geosporus	A..rehmii	0.753444175197464	0.000751399410537923
Paenibacillus	A..rehmii	0.794864440539207	0.000233681664981278
Scutellospora.sp..1	A..scrobiculata	0.739884173346108	0.00105062362154662
Hyphomicrobium	A..spinosa	-0.810480663536638	0.000140356576601164
Geobacter	A..spinosa	-0.702368373416613	0.0024152396991326
Pacispora.sp..1	Ambispora.leptoticha	0.742680880649938	0.00098205670453666
Methylosinus	Ambispora.leptoticha	0.854550343578649	2.4916341686998e-05
Cupriavidus	Ambispora.leptoticha	0.708306410746017	0.00213479582680209
QuimioAutotrofos	Ambispora.leptoticha	0.708306410746017	0.00213479582680209
G..gigantea	Archaeospora.trappei	0.732480264667977	0.00125125278407534
R...intraradices	Archaeospora.trappei	0.743878468126883	0.000953838170706156
Sclerocystis.sinuosum	Archaeospora.trappei	0.743878468126883	0.000953838170706156
X058..16.0.ISO	Archaeospora.trappei	0.743384151121201	0.000965404089507294
X076..17.0.ANTEISO	Archaeospora.trappei	0.702911675977061	0.00238840292337761
Kribbella	Archaeospora.trappei	0.820665763039033	9.81369126407117e-05
Edaphobacter	Archaeospora.trappei	0.743878468126883	0.000953838170706156
Dokdonella	Archaeospora.trappei	0.808369114588003	0.000150768896694409
Novosphingobium	Archaeospora.trappei	0.743878468126883	0.000953838170706156
Micromonospora	Archaeospora.trappei	0.743878468126883	0.000953838170706156
Roseococcus	Archaeospora.trappei	0.872583548428749	1.03709284591247e-05
Limisphaera	Archaeospora.trappei	0.701303561363255	0.00246854498394566
Densidad	Claroideoglomus.claroideum	0.704816608757908	0.0022962085184659
Amphritea	Claroideoglomus.claroideum	0.720317766548397	0.00164800770910456
X072..ANTEISO.17.1.w9c	C..etunicatum	0.803683689836747	0.000176181159176503
X075..17.0.ISO	C..etunicatum	0.810954090257606	0.000138106075578071
X100..TBSA.10Me18.0	C..etunicatum	0.786624198284542	0.000300682038942623
Deinococcus	C..etunicatum	0.803683689836747	0.000176181159176503
Phyllobacterium	C..etunicatum	0.803683689836747	0.000176181159176503
Cytophaga	C..etunicatum	0.803683689836747	0.000176181159176503
Septoglomus.constrictum	C..luteum	0.885241252740133	5.16302483921649e-06
Sclerocystis.sp..1	C..luteum	0.863891234429582	1.60687251817837e-05
Scutellospora.biornata	C..luteum	0.869918578890532	1.18998920113356e-05
X064..16.0	C..luteum	0.781622148599597	0.000348589105066743
X078..17.1.w8c	C..luteum	0.879565901911191	7.12623988174954e-06
Pseudomonas	C..luteum	0.717224221938509	0.00176373137236241
Anaeromyxobacter	C..luteum	0.746825996570649	0.000887203547632609
Coxiella	C..luteum	0.863891234429582	1.60687251817837e-05
Rubellimicrobium	C..luteum	0.863891234429582	1.60687251817837e-05
Arhodomonas	C..luteum	0.863891234429582	1.60687251817837e-05
G..microagregatum	Entrophospora.infrequens	0.735576254204337	0.00116386452965234
Glomus.sp..1	Entrophospora.infrequens	0.92693729264678	2.4528317776884e-07
Sclerocystis.sp..1	Septoglomus.constrictum	0.718519311844544	0.00171450630944769
Scutellospora.biornata	Septoglomus.constrictum	0.723091288083654	0.00154958169365349
X078..17.1.w8c	Septoglomus.constrictum	0.741177947946217	0.00101843325731021
Coxiella	Septoglomus.constrictum	0.718519311844544	0.00171450630944769
Rubellimicrobium	Septoglomus.constrictum	0.718519311844544	0.00171450630944769
Arhodomonas	Septoglomus.constrictum	0.718519311844544	0.00171450630944769
X062..16.1.w9c	F..geosporus	0.781833855155326	0.000346441142898168
Paenibacillus	F..geosporus	0.711893721332043	0.00197859120221588
X051..15.0	Gigaspora.decipiens	0.835665521271781	5.55454415671619e-05
X060..16.0.ANTEISO	Gigaspora.decipiens	0.719904469567448	0.00166310055934016
Marmoricola	Gigaspora.decipiens	0.767725126604734	0.000515785506494115
Mycobacterium	Gigaspora.decipiens	0.781573546257016	0.000349083771179481
R...intraradices	G..gigantea	0.997580918590375	0
Sclerocystis.sinuosum	G..gigantea	0.997580918590375	0
X058..16.0.ISO	G..gigantea	0.838376355362344	4.9818098356802e-05
X076..17.0.ANTEISO	G..gigantea	0.966466055735655	1.17014620215627e-09
Mesorhizobium	G..gigantea	0.860611277977829	1.88111438865768e-05
Edaphobacter	G..gigantea	0.997580918590375	0
Dokdonella	G..gigantea	0.882840733658053	5.92884831007723e-06
Novosphingobium	G..gigantea	0.997580918590375	0
Micromonospora	G..gigantea	0.997580918590375	0
S..rubra	G..margarita	0.818668310384762	0.000105451428163983
Chromohalobacter	G..rosea	0.724650061753243	0.0014964011455465
R..fasciculatum	G..aggregatum	0.790813346260488	0.00026487612161219
Nitrobacter	G..aggregatum	0.790813346260488	0.00026487612161219
Couchioplanes	G..aggregatum	0.790813346260488	0.00026487612161219
Blastococcus	G..aggregatum	0.790813346260488	0.00026487612161219
Catenulispora	G..aggregatum	0.790813346260488	0.00026487612161219
Kutzneria	G..aggregatum	0.790813346260488	0.00026487612161219
Glomus.sp..1	G..microagregatum	0.869770337343925	1.19902225872437e-05
S..rubra	G..microagregatum	0.781916971233671	0.000345600847049488
Rubrobacter	Glomus.sp..2	0.716859417126681	0.00177780270614947
QuimioOrganotroficos	Glomus.sp..2	0.706347338990307	0.00222423296188046
Racocetra.fulgida	Pacispora.sp..1	0.707709104171273	0.00216174968822003
X062..16.1.w9c	Pacispora.sp..1	0.877107717667409	8.15343722515571e-06
Bdellovibrio	Pacispora.sp..1	0.84453097297053	3.86233806994873e-05
Desulfosporomusa	Pacispora.sp..1	0.707600389822414	0.00216668504992867
X069..16.0.10.methyl	Rhizophagus.clarus	0.716767145069509	0.00178137626789709
Dokdonella	Rhizophagus.clarus	0.766616025545985	0.000531566456535071
X090..18.3.w6c..6	R..fasciculatum	0.727617489862801	0.00139927096428982
X111..20.4.w6	R..fasciculatum	0.817528456999758	0.000197270249853609
Chondromyces	R..fasciculatum	0.74535599249993	0.000919941838609439
Nitrobacter	R..fasciculatum	1	0
Couchioplanes	R..fasciculatum	1	0
Blastococcus	R..fasciculatum	1	0
Catenulispora	R..fasciculatum	1	0
Kutzneria	R..fasciculatum	1	0
Sclerocystis.sinuosum	R...intraradices	1	0
X058..16.0.ISO	R...intraradices	0.838961287027659	4.8649414327695e-05
X076..17.0.ANTEISO	R...intraradices	0.96929931424395	6.35559826989152e-10
Mesorhizobium	R...intraradices	0.868243142124459	1.29548743881269e-05
Edaphobacter	R...intraradices	1	0
Dokdonella	R...intraradices	0.888634548902049	4.22385244114309e-06
Novosphingobium	R...intraradices	1	0
Micromonospora	R...intraradices	1	0
X058..16.0.ISO	Sclerocystis.sinuosum	0.838961287027659	4.8649414327695e-05
X076..17.0.ANTEISO	Sclerocystis.sinuosum	0.96929931424395	6.35559826989152e-10
Mesorhizobium	Sclerocystis.sinuosum	0.868243142124459	1.29548743881269e-05
Edaphobacter	Sclerocystis.sinuosum	1	0
Dokdonella	Sclerocystis.sinuosum	0.888634548902049	4.22385244114309e-06
Novosphingobium	Sclerocystis.sinuosum	1	0
Micromonospora	Sclerocystis.sinuosum	1	0
Scutellospora.biornata	Sclerocystis.sp..1	0.999480191551407	0
X064..16.0	Sclerocystis.sp..1	0.811310688666298	0.000136430815081523
X078..17.1.w8c	Sclerocystis.sp..1	0.995170845598338	1.77635683940025e-15
Pseudomonas	Sclerocystis.sp..1	0.808290376865476	0.0001511692398104
Anaeromyxobacter	Sclerocystis.sp..1	0.843274042711568	4.07194138172251e-05
Coxiella	Sclerocystis.sp..1	1	0
Rubellimicrobium	Sclerocystis.sp..1	1	0
Arhodomonas	Sclerocystis.sp..1	1	0
Gemmatimonas	Sclerocystis.sp..1	0.704298544847753	0.0023209911222053
X064..16.0	Scutellospora.biornata	0.828830250612046	7.24745776263802e-05
X078..17.1.w8c	Scutellospora.biornata	0.994268172124489	5.32907051820075e-15
Pseudomonas	Scutellospora.biornata	0.805880392568865	0.000163857333952855
Anaeromyxobacter	Scutellospora.biornata	0.844652157993437	3.8426159581828e-05
Coxiella	Scutellospora.biornata	0.999480191551407	0
Rubellimicrobium	Scutellospora.biornata	0.999480191551407	0
Arhodomonas	Scutellospora.biornata	0.999480191551407	0
Gemmatimonas	Scutellospora.biornata	0.702470949097324	0.00241015430071689
Racocetra.fulgida	S..calospora	0.994676228208876	3.10862446895044e-15
Bdellovibrio	S..calospora	0.791788023092233	0.000257073118035134
Desulfosporomusa	S..calospora	0.995415286673297	1.11022302462516e-15
Taire.Tsuelo.1	S..calospora	0.817999828467111	0.00010799845595888
Calditerricola	S..dipapillosa	0.733684701391531	0.00121664096321394
Taire.Tsuelo.1	S..rubra	0.715170298420237	0.00184415067410959
Dentiscutata.heterogama	Scutellospora.sp..1	0.810607588081126	0.000139750253230098
X071..15.0.3OH	Scutellospora.sp..1	0.961845806685556	2.85298407121104e-09
X095..18.1.w5c	Scutellospora.sp..1	0.798170767243435	0.000210536661233274
Caldilinea	Scutellospora.sp..1	0.830094907479142	6.90539102596865e-05
Virgisporangium	Scutellospora.sp..1	0.961845806685556	2.85298407121104e-09
Corallococcus	Scutellospora.sp..1	0.961845806685556	2.85298407121104e-09
Acetobacter	Scutellospora.sp..1	0.961845806685556	2.85298407121104e-09
CandidatusRhodoluna	Scutellospora.sp..1	0.961845806685556	2.85298407121104e-09
Bdellovibrio	Racocetra.fulgida	0.804005755787174	0.00017432764391101
Desulfosporomusa	Racocetra.fulgida	0.999194971538714	0
Taire.Tsuelo.1	Racocetra.fulgida	0.832851945019623	6.20615055477725e-05
X071..15.0.3OH	Dentiscutata.heterogama	0.878013527516531	7.76132707258625e-06
X095..18.1.w5c	Dentiscutata.heterogama	0.730627720143145	0.00130605508712955
Caldilinea	Dentiscutata.heterogama	0.759555390269712	0.000641624687014897
Dokdonella	Dentiscutata.heterogama	0.759555390269712	0.000641624687014897
Virgisporangium	Dentiscutata.heterogama	0.878013527516531	7.76132707258625e-06
Corallococcus	Dentiscutata.heterogama	0.878013527516531	7.76132707258625e-06
Acetobacter	Dentiscutata.heterogama	0.878013527516531	7.76132707258625e-06
CandidatusRhodoluna	Dentiscutata.heterogama	0.878013527516531	7.76132707258625e-06
Riqueza	Cetraspora.pellucida	0.930827580555931	1.69002632111059e-07
X084..16.1.2OH	Cetraspora.pellucida	0.98650577109033	2.1085355683681e-12
X092..18.1.w9c	Cetraspora.pellucida	0.904834981974957	1.46913675624916e-06
X097..11.methyl.18.1.w7c	Cetraspora.pellucida	0.754172932059962	0.000737551886011101
Legionella	Cetraspora.pellucida	0.988509210953396	6.88116230662672e-13
Flavobacterium	Cetraspora.pellucida	0.988509210953396	6.88116230662672e-13
Rhodomicrobium	Cetraspora.pellucida	0.871269969404848	1.11024769036128e-05
Luteolibacter	Cetraspora.pellucida	0.810795877234471	0.000138854800999511
Alkanindiges	Cetraspora.pellucida	0.988509210953396	6.88116230662672e-13
Thauera	Cetraspora.pellucida	0.988509210953396	6.88116230662672e-13
X081..17.0.CYCLO	Diversidad..1	0.770067533047501	0.000483721912265533
CandidatusRhabdochlamydia	Diversidad..1	0.851302693784189	2.88193177442331e-05
Geothrix	Diversidad..1	0.851302693784189	2.88193177442331e-05
Ensifer	Diversidad..1	0.851302693784189	2.88193177442331e-05
Roseiflexus	Diversidad..1	0.851302693784189	2.88193177442331e-05
X084..16.1.2OH	Riqueza	0.944223032591292	3.88338934342869e-08
X092..18.1.w9c	Riqueza	0.859872365060621	1.94803208342087e-05
X097..11.methyl.18.1.w7c	Riqueza	0.933746117302049	1.25968561803802e-07
Legionella	Riqueza	0.946729262406258	2.83379699705932e-08
Flavobacterium	Riqueza	0.946729262406258	2.83379699705932e-08
Rhodomicrobium	Riqueza	0.830747160735697	6.73430449189549e-05
Luteolibacter	Riqueza	0.894427190999916	2.95272767036892e-06
Alkanindiges	Riqueza	0.946729262406258	2.83379699705932e-08
Thauera	Riqueza	0.946729262406258	2.83379699705932e-08
Densidad.de.esporas.total	Equitatividad..1	0.728438666664798	0.00137332054140882
X060..16.0.ANTEISO	Equitatividad..1	0.76050433872734	0.000625827954232605
X093..18.1.w7c	Equitatividad..1	0.777716579020104	0.000390232633700638
Clostridium	Equitatividad..1	0.830539534499922	6.78837671950205e-05
Rickettsiella	Equitatividad..1	0.741940826802374	0.0009998334516792
Leptolyngbya	Equitatividad..1	0.741940826802374	0.0009998334516792
H.Aerobicos	Equitatividad..1	0.860030885288665	1.93351033288547e-05
Aquicella	Densidad.de.esporas.total	0.81884944782314	0.000104769944874405
Actinospica	X010..10.0.2OH	0.733937760095731	0.0012094691954645
Iamia	X010..10.0.2OH	0.70087168733814	0.00249043452406883
Salinibacter	X010..10.0.2OH	0.70087168733814	0.00249043452406883
Methylococcus	X010..10.0.2OH	0.70087168733814	0.00249043452406883
Leptospira	X010..10.0.2OH	0.70087168733814	0.00249043452406883
Aliidongia	X010..10.0.2OH	0.76643324462241	0.000534204919744763
Solirubrobacter	X010..10.0.2OH	0.735590380413473	0.00116347755107449
X096..18.0	X032..14.0.ISO	0.981330196879712	2.01814120970312e-11
Acidisphaera	X032..14.0.ISO	0.803094593521163	0.00017961378950937
Cellvibrio	X032..14.0.ISO	0.97561642632573	1.28849819702737e-10
Alicyclobacillus	X032..14.0.ISO	0.97561642632573	1.28849819702737e-10
Saccharopolyspora	X032..14.0.ISO	0.97561642632573	1.28849819702737e-10
Kibdelosporangium	X032..14.0.ISO	0.97561642632573	1.28849819702737e-10
Oscillochloris	X036..14.0	0.736246708640023	0.00114561340957997
Dactylosporangium	X036..14.0	0.906796517166749	1.27664384597104e-06
Act.Nitrificante	X036..14.0	0.730181180914727	0.00131955335409861
X060..16.0.ANTEISO	X045..15.0.ISO	0.932477582888679	1.43361536864006e-07
X063..16.1.w5c	X045..15.0.ISO	0.720759329666864	0.00163200597903845
X093..18.1.w7c	X045..15.0.ISO	0.761234023257585	0.000613899892521363
Rhodanobacter	X045..15.0.ISO	0.832514487845909	6.28841974883443e-05
Rubrobacter	X045..15.0.ISO	0.898028886072873	2.33874575972237e-06
Inquilinus	X045..15.0.ISO	0.775390300937195	0.000416930140484606
Rickettsiella	X045..15.0.ISO	0.960320429032845	3.73857078628248e-09
Herpetosiphon	X045..15.0.ISO	0.832514487845909	6.28841974883443e-05
Leptolyngbya	X045..15.0.ISO	0.960320429032845	3.73857078628248e-09
Marmoricola	X051..15.0	0.730458384322131	0.00131116054994829
Thermomonas	X051..15.0	0.79817122279049	0.000210533608590247
Cupriavidus	X051..15.0	0.921896582268677	3.85977094730094e-07
QuimioAutotrofos	X051..15.0	0.921896582268677	3.85977094730094e-07
Kribbella	X056..16.1.ISO.H	0.854723308411421	2.47215845090576e-05
Shinella	X056..16.1.ISO.H	0.758953509938335	0.000651812698532872
Acidimicrobium	X056..16.1.ISO.H	0.855080166955634	2.43237954085096e-05
Roseococcus	X056..16.1.ISO.H	0.859792886130385	1.95534738667291e-05
